age,monthly_income,debt_to_income_ratio,transactions_per_month,complaints_last_6m,customer_type
27,5448,0.42,47,3,regular
46,5598,0.33,16,4,regular
49,4344,0.33,60,0,regular
54,9334,0.1,65,2,good
45,5000,0.6,42,3,regular
41,5810,0.39,32,2,regular
45,3877,0.89,17,8,bad
32,5023,0.44,52,0,regular
44,11329,0.08,44,0,good
40,8621,0.26,62,0,good
59,4857,0.38,34,1,regular
47,2815,0.94,1,3,bad
38,3214,0.9,28,8,bad
42,2411,0.84,23,6,bad
46,3149,0.5,48,5,regular
18,5095,0.57,20,3,regular
35,5979,0.39,32,6,regular
22,852,0.9,23,9,bad
35,4977,0.35,18,4,regular
49,5228,0.59,54,1,regular
38,1187,0.7,9,6,bad
64,3468,0.53,14,2,regular
41,9357,0.13,57,0,good
76,2172,0.78,1,10,bad
46,6907,0.46,36,3,regular
54,4815,0.29,26,0,regular
47,2746,0.83,14,6,bad
51,7333,0.32,20,3,regular
36,6590,0.0,65,1,good
60,5479,0.36,52,4,regular
23,5205,0.25,36,4,regular
54,5296,0.47,32,2,regular
21,2867,0.74,30,8,bad
19,9342,0.49,47,3,regular
29,3214,0.46,57,1,regular
45,4348,0.54,13,2,regular
62,3071,0.78,25,6,bad
37,4266,0.05,43,4,regular
52,4592,0.57,46,2,regular
38,9223,0.27,45,1,good
27,6132,0.42,54,1,regular
29,9159,0.34,63,0,good
52,6240,0.13,51,3,regular
33,5302,0.57,29,5,regular
54,6186,0.56,40,3,regular
42,1725,0.68,13,3,bad
22,7243,0.21,58,1,regular
48,5607,0.59,8,0,regular
33,9437,0.18,51,0,good
32,6012,0.42,35,2,regular
41,1604,0.79,26,4,bad
36,7808,0.61,45,2,regular
37,7153,0.38,12,3,regular
38,5191,0.73,22,4,regular
61,2978,0.9,7,8,bad
41,8836,0.04,71,1,good
34,5555,0.26,22,3,regular
30,1796,0.72,32,7,bad
40,5717,0.82,38,0,regular
44,8281,0.62,5,4,regular
33,4427,0.57,39,1,regular
21,2187,0.58,22,5,regular
33,4245,0.43,44,5,regular
44,10828,0.11,52,0,good
55,4864,0.21,30,3,regular
34,9448,0.2,35,2,good
36,9299,0.16,45,1,good
54,2959,0.05,44,4,regular
41,5630,0.41,40,1,regular
26,6164,0.39,56,2,regular
39,5311,0.51,61,4,regular
34,2572,0.29,23,3,regular
39,11008,0.16,93,0,good
55,3442,0.38,49,5,regular
31,10558,0.07,72,2,good
45,4432,0.54,52,5,regular
39,4234,0.76,18,4,bad
33,10565,0.19,57,1,good
30,3501,0.52,37,0,regular
33,6185,0.36,25,3,regular
36,7362,0.68,59,3,regular
38,3731,0.66,40,7,regular
45,2653,0.89,36,6,bad
33,7172,0.41,36,2,regular
32,4816,0.43,39,5,regular
39,7261,0.43,39,3,regular
29,4047,0.22,19,2,regular
57,3522,0.61,14,3,bad
41,1620,0.37,36,3,regular
61,3212,0.43,37,1,regular
32,5331,0.3,37,5,regular
53,4895,0.17,20,2,regular
34,9427,0.18,44,2,good
67,4432,0.13,51,6,regular
38,4705,0.63,59,3,regular
59,4903,0.33,28,5,regular
65,5975,0.79,40,2,regular
41,7986,0.19,58,1,good
50,4911,0.47,66,0,regular
18,4263,0.23,23,0,regular
50,4363,0.37,35,4,regular
60,2495,0.75,8,8,bad
31,4652,0.45,39,4,regular
25,3667,0.59,42,0,regular
41,5476,0.43,38,3,regular
41,9454,0.05,85,1,good
44,8866,0.02,57,0,good
27,3234,0.7,13,7,bad
29,8680,0.25,89,1,good
51,9025,0.07,49,0,good
28,3275,0.28,31,1,regular
31,5401,0.5,40,4,regular
18,5839,0.15,40,1,regular
45,10858,0.17,79,1,good
26,6027,0.4,60,0,regular
42,5030,0.36,31,3,regular
53,10822,0.11,63,0,good
44,2508,0.84,18,9,bad
44,10672,0.18,62,1,good
30,13786,0.08,77,0,good
43,5374,0.49,35,4,regular
57,4928,0.3,30,0,regular
40,5597,0.57,59,2,regular
38,3919,0.48,52,1,regular
24,5666,0.37,23,3,regular
33,3988,0.76,24,1,regular
40,8595,0.1,47,0,good
27,6255,0.34,36,0,regular
35,6970,0.58,53,4,regular
52,4703,0.42,51,3,regular
37,5361,0.49,40,5,regular
30,5158,0.79,59,5,regular
52,5382,0.24,62,3,regular
52,7128,0.48,63,6,regular
57,3223,0.62,41,5,regular
38,4273,0.72,13,7,bad
51,4823,0.48,29,2,regular
34,3942,0.69,40,4,regular
19,5592,0.27,28,4,regular
47,4697,0.2,30,2,regular
35,5788,0.6,50,1,regular
70,3836,0.29,33,1,regular
36,3772,0.1,51,5,regular
49,3351,0.63,54,0,regular
44,5087,0.38,63,4,regular
55,2870,0.9,39,4,bad
46,6011,0.39,17,1,regular
36,5435,0.58,55,4,regular
51,8837,0.03,79,0,good
31,5388,0.33,32,4,regular
58,3987,0.35,53,4,regular
57,4722,0.69,5,1,regular
52,7457,0.38,46,1,regular
57,5191,0.11,46,2,regular
43,5590,0.76,30,6,regular
30,2373,0.51,18,3,bad
29,3343,0.51,37,2,regular
37,6454,0.28,45,4,regular
51,5764,0.7,33,3,regular
40,11070,0.18,84,1,good
37,5652,0.23,23,4,regular
63,5242,0.42,38,4,regular
26,4928,0.51,46,2,regular
49,5550,0.21,30,1,regular
43,4854,0.65,65,3,regular
59,6586,0.45,33,1,regular
37,4921,0.25,41,3,regular
41,4753,0.47,44,4,regular
45,4263,0.14,28,4,regular
41,2930,0.81,29,7,bad
23,985,0.74,7,4,bad
37,800,0.86,16,5,bad
44,5396,0.57,53,0,regular
38,6539,0.27,56,2,regular
44,6974,0.18,28,0,regular
53,1500,0.4,30,2,regular
66,5748,0.53,47,3,regular
28,5067,0.26,70,2,regular
47,3096,0.66,1,6,bad
35,7290,0.13,81,0,good
32,4134,0.11,42,3,regular
33,2337,0.74,26,6,bad
37,9315,0.07,68,0,good
55,6369,0.66,18,0,regular
44,2362,0.68,34,6,bad
22,4163,0.27,18,3,regular
29,3217,0.28,34,4,regular
46,3831,0.39,43,1,regular
55,2022,0.74,28,7,bad
47,2831,0.41,39,2,regular
29,6645,0.36,40,3,regular
