prediction_id,ts_utc,exec_ts,api_url,status_code,latency_ms,prediction,error,model_version_loaded,model_uri_api,api_tracking_uri,age,monthly_income,debt_to_income_ratio,transactions_per_month,complaints_last_6m
e51f302b-d323-460e-9460-1fb8302528ac,2025-08-29T02:38:17.324837+00:00,2025-08-29 02:37:00,http://fastapi:8000,500,14.64,,"{""detail"":""Prediction failed""}",unknown,models:/customers_models@Production,http://mlflow:5000,42,8333.0,0.085,83,7
3e09602a-fb6d-41b0-8ab6-73dbd5a75b5c,2025-08-29T02:38:23.345714+00:00,2025-08-29 02:37:00,http://fastapi:8000,500,14.5,,"{""detail"":""Prediction failed""}",unknown,models:/customers_models@Production,http://mlflow:5000,26,20184.0,0.873,102,6
178763a3-7df1-49e6-8b43-9d19782bc94f,2025-08-29T02:38:29.368471+00:00,2025-08-29 02:37:00,http://fastapi:8000,500,16.02,,"{""detail"":""Prediction failed""}",unknown,models:/customers_models@Production,http://mlflow:5000,75,6426.0,0.773,28,2
5c9bc4aa-5095-4abb-bde2-1e2f871c7505,2025-08-29T02:38:35.391139+00:00,2025-08-29 02:37:00,http://fastapi:8000,500,21.23,,"{""detail"":""Prediction failed""}",unknown,models:/customers_models@Production,http://mlflow:5000,26,10677.0,0.19,16,0
0ebbd45d-5aa9-4b4c-b2d4-5493f17639dd,2025-08-29T02:38:41.409261+00:00,2025-08-29 02:37:00,http://fastapi:8000,500,19.33,,"{""detail"":""Prediction failed""}",unknown,models:/customers_models@Production,http://mlflow:5000,49,21869.0,0.726,51,7
62331e39-ce3b-407e-9464-d56752520236,2025-08-29T02:38:47.429567+00:00,2025-08-29 02:37:00,http://fastapi:8000,500,13.88,,"{""detail"":""Prediction failed""}",unknown,models:/customers_models@Production,http://mlflow:5000,43,9695.0,0.456,87,1
2937e9c1-c8e0-4dd1-ade2-93414b0533f5,2025-08-29T02:38:53.451050+00:00,2025-08-29 02:37:00,http://fastapi:8000,500,15.13,,"{""detail"":""Prediction failed""}",unknown,models:/customers_models@Production,http://mlflow:5000,53,22006.0,0.304,73,2
b07fb051-23ba-4a73-a8e5-8b7110b9c097,2025-08-29T02:38:59.489475+00:00,2025-08-29 02:37:00,http://fastapi:8000,500,32.67,,"{""detail"":""Prediction failed""}",unknown,models:/customers_models@Production,http://mlflow:5000,55,11787.0,0.316,110,7
974c78ef-0ee2-4c4d-a803-4a7e6464ea1b,2025-08-29T02:39:05.509087+00:00,2025-08-29 02:37:00,http://fastapi:8000,500,13.32,,"{""detail"":""Prediction failed""}",unknown,models:/customers_models@Production,http://mlflow:5000,69,20396.0,0.171,56,0
1784b67a-32a0-4554-8aee-748180641bbb,2025-08-29T02:39:11.526650+00:00,2025-08-29 02:37:00,http://fastapi:8000,500,14.07,,"{""detail"":""Prediction failed""}",unknown,models:/customers_models@Production,http://mlflow:5000,75,16580.0,0.718,113,6
